date,open,close,high,low,volume,code
2017-06-22,14.538,14.876,15.173,14.499,506111.0,000970
2017-06-23,14.509,14.657,15.014,14.241,353103.0,000970
2017-06-26,14.479,14.717,14.826,14.449,249137.0,000970
2017-06-27,14.687,14.598,14.826,14.459,179948.0,000970
2017-06-28,14.528,14.201,14.538,14.052,254370.0,000970
2017-06-29,14.241,14.181,14.33,14.122,145902.0,000970
2017-06-30,14.32,14.657,14.766,14.271,395964.0,000970
2017-07-03,14.647,14.945,14.995,14.479,311793.0,000970
2017-07-04,14.895,14.558,15.084,14.558,318429.0,000970
2017-07-05,14.429,15.213,15.312,14.33,496550.0,000970
2017-07-06,15.084,15.51,15.689,15.004,631503.0,000970
2017-07-07,15.381,16.294,16.522,15.233,714745.0,000970
2017-07-10,16.264,15.937,16.799,15.907,661879.0,000970
2017-07-11,15.927,15.471,16.155,15.262,441909.0,000970
2017-07-12,15.52,15.917,15.976,15.342,449576.0,000970
2017-07-13,16.066,15.58,16.482,15.57,717147.0,000970
2017-07-14,15.451,15.332,15.56,15.133,383767.0,000970
2017-07-17,15.371,14.598,15.401,14.489,388227.0,000970
2017-07-18,14.608,14.796,14.905,14.528,278231.0,000970
2017-07-19,14.836,15.401,15.421,14.687,458675.0,000970
2017-07-20,15.173,15.57,15.957,15.143,580679.0,000970
2017-07-21,15.391,15.233,15.56,15.193,324574.0,000970
2017-07-24,15.381,15.639,15.927,15.352,414164.0,000970
2017-07-25,15.709,16.006,16.323,15.619,624401.0,000970
2017-07-26,16.066,16.373,16.512,15.887,783999.0,000970
2017-07-27,16.234,15.857,16.363,15.57,597039.0,000970
2017-07-28,15.778,17.226,17.444,15.619,1554459.0,000970
2017-07-31,17.414,18.148,18.327,17.067,1596401.0,000970
2017-08-01,17.851,17.672,17.989,17.365,934270.0,000970
2017-08-02,17.692,17.355,18.307,17.315,1072024.0,000970
2017-08-03,17.256,17.365,17.543,17.028,599914.0,000970
2017-08-04,17.355,16.571,17.821,16.442,816713.0,000970
2017-08-07,16.641,17.345,17.454,16.512,752564.0,000970
2017-08-08,17.454,17.137,17.95,16.958,985329.0,000970
2017-08-09,17.037,18.624,18.852,16.839,1471067.0,000970
2017-08-10,18.356,18.079,18.426,17.732,1168101.0,000970
2017-08-11,17.632,16.71,17.751,16.492,873668.0,000970
2017-08-14,16.899,17.533,17.791,16.671,648103.0,000970
2017-08-15,17.375,17.305,17.642,17.097,472094.0,000970
2017-08-16,17.156,16.651,17.335,16.413,585764.0,000970
2017-08-17,16.869,16.879,16.998,16.581,361890.0,000970
2017-08-18,16.641,16.254,16.7,16.105,464251.0,000970
2017-08-21,16.284,16.502,16.71,16.284,374629.0,000970
2017-08-22,16.502,16.79,16.978,16.076,566361.0,000970
2017-08-23,16.611,16.066,16.611,15.976,474854.0,000970
2017-08-24,16.066,15.748,16.165,15.679,293980.0,000970
2017-08-25,15.768,16.115,16.274,15.768,286940.0,000970
2017-08-28,15.996,16.284,16.472,15.976,374489.0,000970
2017-08-29,16.264,16.185,16.611,16.076,309235.0,000970
2017-08-30,16.254,16.561,16.651,16.185,404432.0,000970
2017-08-31,16.571,16.631,16.73,16.433,298117.0,000970
2017-09-01,16.651,17.206,17.355,16.571,637573.0,000970
2017-09-04,17.166,17.563,17.702,17.037,612559.0,000970
2017-09-05,17.504,17.345,17.702,17.018,419894.0,000970
2017-09-06,17.256,18.099,18.803,17.137,1064671.0,000970
2017-09-07,18.069,17.87,18.525,17.831,723191.0,000970
2017-09-08,17.821,18.218,18.386,17.672,684276.0,000970
2017-09-11,19.021,19.13,19.784,18.723,1158618.0,000970
2017-09-12,19.18,20.707,21.044,19.14,2184585.0,000970
2017-09-13,20.211,20.479,20.727,19.933,1390798.0,000970
2017-09-14,20.231,19.824,20.925,19.715,1180066.0,000970
2017-09-15,19.715,18.902,19.784,18.644,1058766.0,000970
2017-09-18,18.961,19.259,19.388,18.654,719926.0,000970
2017-09-19,19.388,19.318,19.586,18.823,764833.0,000970
2017-09-20,19.1,20.013,20.221,18.763,1118525.0,000970
2017-09-21,19.854,19.418,19.973,19.219,768969.0,000970
2017-09-22,19.328,19.636,20.389,19.249,954475.0,000970
2017-09-25,18.942,17.672,18.991,17.672,1118373.0,000970
2017-09-26,17.702,17.801,17.92,17.454,452951.0,000970
2017-09-27,17.712,18.178,18.396,17.652,583606.0,000970
2017-09-28,18.099,17.95,18.317,17.761,353349.0,000970
2017-09-29,17.95,17.761,18.227,17.533,410518.0,000970
2017-10-09,18.108,18.089,18.188,17.821,368137.0,000970
2017-10-10,18.029,17.742,18.059,17.563,372335.0,000970
2017-10-11,17.692,17.375,17.702,17.186,390391.0,000970
2017-10-12,17.335,16.849,17.385,16.413,600793.0,000970
2017-10-13,16.859,16.909,16.948,16.74,237682.0,000970
2017-10-16,16.928,16.76,16.958,16.482,316618.0,000970
2017-10-17,16.641,16.413,16.7,16.363,254598.0,000970
2017-10-18,16.423,16.413,16.75,16.343,249251.0,000970
2017-10-19,16.373,16.7,16.839,16.284,294982.0,000970
2017-10-20,16.601,17.057,17.077,16.571,300801.0,000970
2017-10-23,17.553,17.127,17.742,17.087,364775.0,000970
2017-10-24,16.968,17.156,17.355,16.889,240017.0,000970
2017-10-25,17.156,17.603,17.682,17.077,406109.0,000970
2017-10-26,17.454,17.533,17.722,17.266,434365.0,000970
2017-10-27,17.256,16.482,17.266,16.462,629918.0,000970
2017-10-30,16.482,15.599,16.532,15.371,438494.0,000970
2017-10-31,15.322,15.788,15.917,15.322,218812.0,000970
2017-11-01,15.758,15.629,16.006,15.59,215674.0,000970
2017-11-02,15.58,15.223,15.59,15.074,262038.0,000970
2017-11-03,15.223,15.332,15.411,15.074,205767.0,000970
2017-11-06,15.302,15.441,15.461,15.163,195276.0,000970
2017-11-07,15.401,15.48,15.54,15.183,210567.0,000970
2017-11-08,15.49,15.867,15.976,15.352,373998.0,000970
2017-11-09,15.847,15.937,16.026,15.728,212097.0,000970
2017-11-10,15.917,15.57,15.957,15.5,277097.0,000970
2017-11-13,15.54,15.966,15.976,15.213,376500.0,000970
2017-11-14,15.818,15.54,15.867,15.52,256933.0,000970
2017-11-15,15.451,14.757,15.471,14.717,384631.0,000970
2017-11-16,14.757,14.776,15.004,14.608,193466.0,000970
2017-11-17,14.846,14.082,14.935,14.033,263262.0,000970
2017-11-20,14.052,14.211,14.221,13.388,214491.0,000970
2017-11-21,14.171,14.221,14.271,13.904,167808.0,000970
2017-11-22,14.211,14.39,14.548,14.112,208757.0,000970
2017-11-23,14.33,14.033,14.598,14.033,195880.0,000970
2017-11-24,13.904,14.409,14.588,13.884,204828.0,000970
2017-11-27,14.429,13.993,14.479,13.914,163309.0,000970
2017-11-28,13.973,14.132,14.231,13.705,172710.0,000970
2017-11-29,14.043,14.707,14.757,14.033,363732.0,000970
2017-11-30,14.598,14.469,14.677,14.32,192133.0,000970
2017-12-01,14.519,14.489,14.638,14.39,116798.0,000970
2017-12-04,14.509,14.082,14.628,14.072,166893.0,000970
2017-12-05,13.953,13.279,14.062,12.971,301632.0,000970
2017-12-06,13.209,13.477,13.477,13.209,128508.0,000970
2017-12-07,13.457,13.497,13.834,13.408,140807.0,000970
2017-12-08,13.428,13.576,13.705,13.388,112005.0,000970
2017-12-11,13.497,13.715,13.834,13.497,113840.0,000970
2017-12-12,13.656,13.725,14.003,13.636,198262.0,000970
2017-12-13,13.765,13.715,13.854,13.487,125183.0,000970
2017-12-14,13.755,13.487,13.795,13.408,126601.0,000970
2017-12-15,13.448,13.567,13.606,13.348,117828.0,000970
2017-12-18,13.537,13.705,13.725,13.467,125933.0,000970
2017-12-19,13.715,13.705,13.755,13.557,92682.0,000970
2017-12-20,13.666,13.15,13.725,13.12,172326.0,000970
2017-12-21,13.16,13.2,13.338,13.09,120438.0,000970
2017-12-22,13.19,13.368,13.636,13.16,174517.0,000970
2017-12-25,13.338,13.477,13.636,13.309,161519.0,000970
2017-12-26,13.428,13.557,13.557,13.209,131835.0,000970
2017-12-27,13.557,13.745,13.963,13.507,289908.0,000970
2017-12-28,13.775,14.31,14.419,13.715,394392.0,000970
2017-12-29,14.221,14.261,14.37,14.043,232509.0,000970
2018-01-02,14.261,14.34,14.429,14.102,193626.0,000970
2018-01-03,14.32,14.281,14.618,14.251,253460.0,000970
2018-01-04,14.191,14.35,14.35,13.993,235248.0,000970
2018-01-05,14.261,14.092,14.29,14.003,171318.0,000970
2018-01-08,14.033,14.469,14.538,14.033,284135.0,000970
2018-01-09,14.449,14.528,14.806,14.221,291867.0,000970
2018-01-10,14.538,14.38,14.786,14.29,324110.0,000970
2018-01-11,14.281,14.34,14.489,14.171,166485.0,000970
2018-01-12,14.32,13.884,14.4,13.874,254320.0,000970
2018-01-15,13.834,13.041,13.844,12.981,332657.0,000970
2018-01-16,13.001,12.971,13.17,12.862,213000.0,000970
2018-01-17,12.952,13.001,13.061,12.694,167003.0,000970
2018-01-18,13.001,12.991,13.18,12.902,128074.0,000970
2018-01-19,13.031,13.031,13.18,12.962,118384.0,000970
2018-01-22,12.991,13.18,13.18,12.793,147214.0,000970
2018-01-23,13.13,13.269,13.328,13.11,160957.0,000970
2018-01-24,13.19,13.13,13.269,13.001,141842.0,000970
2018-01-25,13.081,13.12,13.319,13.081,174308.0,000970
2018-01-26,13.14,13.011,13.219,12.942,118526.0,000970
2018-01-29,12.971,12.783,13.09,12.704,124821.0,000970
2018-01-30,12.714,12.783,12.942,12.714,75938.0,000970
2018-01-31,12.733,12.138,12.783,12.059,213070.0,000970
2018-02-01,12.148,11.514,12.277,11.405,210934.0,000970
2018-02-02,11.514,11.732,11.811,11.157,160795.0,000970
2018-02-05,11.355,11.563,11.662,11.315,89365.0,000970
2018-02-06,11.296,10.403,11.395,10.403,258614.0,000970
2018-02-07,10.611,10.562,10.681,10.224,168056.0,000970
2018-02-08,10.562,10.77,10.849,10.502,119829.0,000970
2018-02-09,10.502,10.274,10.601,10.145,189329.0,000970
2018-02-12,10.363,10.75,10.859,10.363,147331.0,000970
2018-02-13,10.849,10.75,10.978,10.73,105874.0,000970
2018-02-14,10.829,10.81,10.869,10.552,93594.0,000970
2018-02-22,10.839,11.107,11.385,10.839,198264.0,000970
2018-02-23,11.048,11.107,11.147,10.988,98853.0,000970
2018-02-26,11.196,11.305,11.424,11.067,165709.0,000970
2018-02-27,11.355,11.276,11.454,11.236,129360.0,000970
2018-02-28,11.167,11.94,12.049,11.097,354167.0,000970
2018-03-01,11.791,12.248,12.446,11.732,347201.0,000970
2018-03-02,12.803,13.061,13.477,12.495,971223.0,000970
2018-03-05,12.773,12.763,12.892,12.575,549134.0,000970
2018-03-06,12.892,12.872,13.081,12.644,425994.0,000970
2018-03-07,12.793,12.436,12.803,12.396,306914.0,000970
2018-03-08,12.446,12.476,12.813,12.426,257097.0,000970
2018-03-09,12.456,12.654,12.753,12.396,255231.0,000970
2018-03-12,12.674,13.031,13.15,12.595,436560.0,000970
2018-03-13,13.021,12.882,13.021,12.743,267990.0,000970
2018-03-14,13.388,13.2,14.062,13.19,870194.0,000970
2018-03-15,12.981,13.517,13.527,12.981,500370.0,000970
2018-03-16,13.408,13.041,13.467,13.031,340275.0,000970
2018-03-19,13.021,12.823,13.021,12.644,241676.0,000970
2018-03-20,12.644,12.684,12.833,12.505,191552.0,000970
2018-03-21,12.644,12.605,13.021,12.565,235097.0,000970
2018-03-22,12.733,12.813,12.882,12.545,203182.0,000970
2018-03-23,12.049,11.534,12.307,11.534,456364.0,000970
2018-03-26,11.127,11.881,11.99,11.077,267394.0,000970
2018-03-27,12.198,12.337,12.495,11.96,315506.0,000970
2018-03-28,12.129,12.049,12.277,12.0,206641.0,000970
2018-03-29,12.089,12.109,12.376,12.019,228524.0,000970
2018-03-30,12.188,12.297,12.317,12.099,194778.0,000970
2018-04-02,12.198,12.317,12.456,12.168,277581.0,000970
2018-04-03,12.129,11.811,12.129,11.712,252955.0,000970
2018-04-04,11.91,11.692,12.079,11.692,153102.0,000970
2018-04-09,11.613,12.01,12.129,11.603,224116.0,000970
2018-04-10,11.96,12.178,12.267,11.91,232593.0,000970
2018-04-11,12.307,12.317,12.436,12.198,276376.0,000970
2018-04-12,12.307,12.0,12.307,12.0,161100.0,000970
2018-04-13,12.109,11.91,12.188,11.871,137343.0,000970
2018-04-16,11.91,11.791,12.039,11.633,133163.0,000970
2018-04-17,11.821,11.514,12.019,11.514,143144.0,000970
2018-04-18,11.672,11.851,11.95,11.325,187942.0,000970
2018-04-19,11.881,12.0,12.119,11.821,228658.0,000970
2018-04-20,11.92,11.553,11.95,11.504,173901.0,000970
2018-04-23,11.504,11.256,11.613,11.058,151241.0,000970
2018-04-24,11.266,11.464,11.484,11.206,113217.0,000970
2018-04-25,11.385,11.593,11.672,11.355,136928.0,000970
2018-04-26,11.603,11.196,11.613,11.196,120322.0,000970
2018-04-27,11.087,10.919,11.206,10.73,165073.0,000970
2018-05-02,10.958,10.8,10.998,10.71,97312.0,000970
2018-05-03,10.849,10.958,11.008,10.611,101459.0,000970
2018-05-04,10.939,10.899,11.177,10.889,95353.0,000970
2018-05-07,10.899,11.206,11.246,10.899,118726.0,000970
2018-05-08,11.236,11.206,11.256,11.107,90740.0,000970
2018-05-09,11.206,11.206,11.236,11.107,99227.0,000970
2018-05-10,11.226,11.206,11.266,11.107,83796.0,000970
2018-05-11,11.216,11.801,11.841,11.117,334922.0,000970
2018-05-14,11.801,11.742,12.0,11.633,228795.0,000970
2018-05-15,12.178,11.742,12.277,11.553,262807.0,000970
2018-05-16,11.623,11.583,11.821,11.504,131525.0,000970
2018-05-17,11.553,11.573,11.732,11.484,86419.0,000970
2018-05-18,11.573,11.593,11.672,11.385,101805.0,000970
2018-05-21,11.643,11.762,11.851,11.643,121315.0,000970
2018-05-22,11.781,11.682,11.791,11.504,92884.0,000970
2018-05-23,11.682,11.355,11.682,11.345,109395.0,000970
2018-05-24,11.355,11.266,11.484,11.246,75848.0,000970
2018-05-25,11.286,11.077,11.355,11.038,95585.0,000970
2018-05-28,11.117,10.988,11.147,10.939,61634.0,000970
2018-05-29,11.018,10.988,11.087,10.909,70161.0,000970
2018-05-30,10.77,10.879,11.246,10.73,175358.0,000970
2018-05-31,10.919,10.958,11.077,10.78,100619.0,000970
2018-06-01,10.958,10.75,11.028,10.691,94664.0,000970
2018-06-04,10.77,10.681,10.849,10.661,68792.0,000970
2018-06-05,10.681,10.919,10.948,10.681,76107.0,000970
2018-06-06,10.948,10.958,11.087,10.859,97208.0,000970
2018-06-07,11.107,10.889,11.147,10.879,84381.0,000970
2018-06-08,10.889,10.71,10.958,10.562,96261.0,000970
2018-06-11,10.681,10.621,10.8,10.572,58618.0,000970
2018-06-12,10.562,10.73,10.77,10.462,76228.0,000970
2018-06-13,10.71,10.512,10.77,10.512,64032.0,000970
2018-06-14,10.611,10.78,10.889,10.581,139108.0,000970
2018-06-15,10.79,10.72,10.83,10.55,110790.0,000970
2018-06-19,10.55,9.65,10.55,9.65,221635.0,000970
2018-06-20,9.64,9.59,9.69,9.3,152280.0,000970
2018-06-21,9.59,9.16,9.79,9.15,142935.0,000970
2018-06-22,9.0,9.22,9.31,8.87,111227.0,000970
2018-06-25,9.22,9.04,9.39,9.03,84841.0,000970
2018-06-26,9.01,9.13,9.2,8.9,91390.0,000970
2018-06-27,9.12,9.35,9.35,9.05,136574.0,000970
2018-06-28,9.27,9.12,9.41,9.11,103648.0,000970
2018-06-29,9.15,9.35,9.38,9.08,96507.0,000970
2018-07-02,9.33,9.19,9.42,9.08,86675.0,000970
2018-07-03,9.17,9.31,9.34,9.01,92072.0,000970
2018-07-04,9.24,9.25,9.5,9.19,94519.0,000970
2018-07-05,9.2,8.95,9.26,8.88,96480.0,000970
2018-07-06,8.97,9.06,9.12,8.73,110346.0,000970
2018-07-09,8.95,9.25,9.29,8.95,96417.0,000970
2018-07-10,9.25,9.39,9.45,9.24,112183.0,000970
2018-07-11,9.59,9.43,9.85,9.39,297478.0,000970
2018-07-12,9.3,10.02,10.26,9.3,361286.0,000970
2018-07-13,10.03,10.01,10.15,9.9,182227.0,000970
2018-07-16,10.0,9.97,10.04,9.82,93745.0,000970
2018-07-17,9.98,9.89,10.03,9.83,105696.0,000970
2018-07-18,9.91,9.68,9.96,9.67,99959.0,000970
2018-07-19,9.77,10.2,10.2,9.57,161023.0,000970
2018-07-20,10.1,10.06,10.22,9.95,177001.0,000970
2018-07-23,9.99,10.11,10.16,9.88,113828.0,000970
2018-07-24,10.11,10.21,10.39,10.01,180564.0,000970
2018-07-25,10.24,10.16,10.26,10.14,87920.0,000970
2018-07-26,10.13,9.99,10.18,9.91,92526.0,000970
2018-07-27,9.95,9.94,10.02,9.85,56428.0,000970
2018-07-30,9.88,9.88,10.03,9.85,64033.0,000970
2018-07-31,9.92,9.81,9.94,9.8,47731.0,000970
2018-08-01,9.87,9.62,9.92,9.59,72607.0,000970
2018-08-02,9.68,9.3,9.69,9.12,99194.0,000970
2018-08-03,9.39,9.22,9.43,9.21,52702.0,000970
2018-08-06,9.29,9.0,9.29,9.0,60032.0,000970
2018-08-07,9.05,9.25,9.25,8.92,67092.0,000970
2018-08-08,9.22,9.13,9.32,9.11,52943.0,000970
2018-08-09,9.15,9.34,9.41,9.12,71706.0,000970
2018-08-10,9.38,9.35,9.38,9.22,45069.0,000970
2018-08-13,9.24,9.33,9.34,9.11,52016.0,000970
2018-08-14,9.29,9.4,9.56,9.22,90103.0,000970
2018-08-15,9.37,9.3,9.45,9.15,55797.0,000970
2018-08-16,9.1,9.14,9.25,9.06,40833.0,000970
2018-08-17,9.2,8.9,9.25,8.87,70314.0,000970
2018-08-20,8.8,8.8,8.86,8.55,87473.0,000970
2018-08-21,8.8,8.86,8.88,8.78,49280.0,000970
2018-08-22,8.86,8.66,8.86,8.63,49146.0,000970
2018-08-23,8.65,8.68,8.74,8.62,59150.0,000970
2018-08-24,8.69,8.67,8.75,8.55,56667.0,000970
2018-08-27,8.68,8.85,8.88,8.66,67372.0,000970
2018-08-28,8.84,8.85,8.91,8.78,77343.0,000970
2018-08-29,8.87,8.73,8.87,8.68,71974.0,000970
2018-08-30,8.73,8.55,8.76,8.53,63948.0,000970
2018-08-31,8.56,8.54,8.66,8.52,54666.0,000970
2018-09-03,8.5,8.38,8.55,8.23,85049.0,000970
2018-09-04,8.38,8.45,8.5,8.36,59858.0,000970
2018-09-05,8.44,8.26,8.49,8.25,59004.0,000970
2018-09-06,8.25,8.24,8.35,8.22,56557.0,000970
2018-09-07,8.25,8.2,8.36,8.08,55228.0,000970
